paperId,authorId
01e77cd46ab75bab8f4b176455f0daa592e5f979,1865091
01e77cd46ab75bab8f4b176455f0daa592e5f979,1403635503
01e77cd46ab75bab8f4b176455f0daa592e5f979,143805211
01e77cd46ab75bab8f4b176455f0daa592e5f979,143868587
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,1845878062
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2330154088
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2330082693
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2266838867
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2309124307
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2309080070
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2267878836
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2309006395
40ede3e3477853d688951b9ac685770d4d506788,6654149
40ede3e3477853d688951b9ac685770d4d506788,2120489252
d1c016ad763d3fbbebf79981af54d459c48f0a74,2261892993
d1c016ad763d3fbbebf79981af54d459c48f0a74,2301848834
d1c016ad763d3fbbebf79981af54d459c48f0a74,2266597382
0252e2e89c55f45e431df15d63878f68a0f9377e,2136000994
0252e2e89c55f45e431df15d63878f68a0f9377e,2291608771
0252e2e89c55f45e431df15d63878f68a0f9377e,4562442
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,1582477446
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,2253588950
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,2137567915
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,1743045
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,3081102
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,3120687
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,2909186
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,51260073
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,2051799405
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,2091806181
3891f205f9733fd64f085bfb096e3d557e5578aa,48138050
3891f205f9733fd64f085bfb096e3d557e5578aa,148178959
3891f205f9733fd64f085bfb096e3d557e5578aa,2130837630
3891f205f9733fd64f085bfb096e3d557e5578aa,7963053
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,2158537700
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,2027461946
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,49220221
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,48553861
b31b25f59d5a191167eb4755383797103daaefac,4041705
b31b25f59d5a191167eb4755383797103daaefac,8340070
b31b25f59d5a191167eb4755383797103daaefac,2060684
b31b25f59d5a191167eb4755383797103daaefac,2897976
b31b25f59d5a191167eb4755383797103daaefac,143898053
01f4154441502641c4bd63eb029130f6e6f28c09,7682161
01f4154441502641c4bd63eb029130f6e6f28c09,2051535419
01f4154441502641c4bd63eb029130f6e6f28c09,2116444719
