paperId,year
01e77cd46ab75bab8f4b176455f0daa592e5f979,
5a4e03154efea02e97ca3f5ae2f01d698f15d3e9,2024
40ede3e3477853d688951b9ac685770d4d506788,2024
d1c016ad763d3fbbebf79981af54d459c48f0a74,2024
0252e2e89c55f45e431df15d63878f68a0f9377e,2024
acc0377d8ccbc35c8a3c2ca63cd42909f954561c,2023
75b51215e728e5d82c2d1ae722c25d0b4ceb0b39,2023
3891f205f9733fd64f085bfb096e3d557e5578aa,2023
f3b2e58eeb8db80b414d4a2a0152d3ad5b8b33c8,2023
b31b25f59d5a191167eb4755383797103daaefac,2023
01f4154441502641c4bd63eb029130f6e6f28c09,2023
9e5ce5d20ec86296f1c9e69d25bc953afa7daa9d,2023
5f2c0fffeb54adc8312d87bdaa4470220e72d83b,2023
77c98b7c7762d34e14abe79dec8f27833c1822ee,2023
02325954f6d81ee19f63307c90f19eb41f458606,2022
4166174eda05f86ae4b47e026ed5a1eff454b315,2022
61092e8b51e60b9accb6980a383a2014baf641e8,2022
224537e971d63c5ab906342e1ac93c5de974de39,2022
10aa7a656ba1daf64e2ebc74cb6cbb3658cec341,2022
6be940195fdaf3beeebde811f08d221c76e75512,2022
8f658e5e34780617b06b083925400b7b20870883,2022
91be9b64512f00df0bf10a74eed5a3ce9392e560,2022
36b6574cd825de3dea74e2f93ec2356c66cc6bf2,2021
eba54f56853495e0d78f5f0ad1214d4a0d302a8b,2021
5e5c85a508eb1f4e959d5bdb343ae4f0d91811b0,2021
9c19baca2b600b5c49bb0c595f783f3b7ce755bf,2021
9f19ec6f1dd98b813501b81541bd741212a1369e,2021
6cafc9d7fc1aed39f8dec59f27ca4fea3843c37e,2021
1577ba992feb9d7a3f5e78f4c4bd67dfada55790,2021
9dd395562b2a239fcaf6ae200279d430640b770f,2021
367a13deb9c9d313cdf53750a2ef086bb00bdad9,2021
dfc1d7e653af7a4a4c20bcb626b8fedd3290ad55,2021
b82bf30797b9a110e137bd5876c4572855fa1100,2021
89b5985f9b04f1c9f1af5da6cafa9b57af3b0a1b,2021
2f13ff9fbdce43a29341fd5367be0a4cfd2207ff,2021
d69c2559ca20241db00f6853982f676a7d10e6f4,2021
d5204405d583367fccba79762878c15e3db7fb52,2021
06fdcdd8c921c0fe67325a5997f1cc33e981f9aa,2021
522a67ce529453884549bfb33eeeb4c36244e87c,2020
11003c6f3537147568642752a1f977e310fd0cc7,2020
5a6c5a39152ecfad6e6f06bab773837b63033a12,2020
67caf6539e066237f20f55d8bce820a53dfbc3bc,2020
29f2d09cf5f6e75ed5b7fa100eac92f4e6e2421f,2020
96150d2fdbb72e11882ad06b346d6e0d2e819d51,2020
8381ae03629962ab8bd0782f6a8075597c1e63f7,2020
d08405247d48d3e9a0580de3621359303483bf77,2020
1a4a5c24c2ee500819b81da6dd07483ef4112846,2020
574336423b6e5a3833719414cdb44b845ead21ee,2020
cff98f47f59ae8d55e7d0f56cd7914d280771613,2020
8b9346af26e460bc37d0e3a4e957a6c42beb3677,2020
f82a08af8933b0ab5b47f2c68190d7b9179021d4,2020
b4e77d32df4a21d27f4a5a01bc5c78a9e676f5d7,2020
dcf8540bad8b140063737702c5d3dda3cd3908b3,2020
126e0801de465f8d2092af3eb88a89a8f2e995f7,2020
2b2900d14b7ef87decfdbc092c55d4ff944dfafa,2020
cd04ba0a3e183ee86221ecf98efb73c3495ec929,2020
4ce8857aa18acd253aa33b618e37cc0bab58e23d,2019
a38b4012012d73a572d8cab33dd2b668b807b10e,2019
1735da3648759becea03fb3e8d4bc09c943e28d6,2019
19e5c0abfdcc0d99e3e117bd1e40b2f06191e1fa,2019
604f0b78b76aaf6e8ba158835daa762f805b5846,2019
